username,docName,quizTimestamp,status,condition,reason,nearbyEvidence
1108328,c1_age_of_exploration_1.pdf,2026/05/19 6:55:57 μ.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",2026-05-19T18:35:48->2026-05-19T18:36:07 docs=NO_TRANSLATION_EVENTS modes=on events=0 reason=manual_disconnect; 2026-05-19T18:38:34->2026-05-19T18:39:59.672 docs=eye_tracking_validation_simple_2pages.pdf modes=on events=53 reason=split_document_changed; 2026-05-19T18:40:42.321->2026-05-19T18:45:02.817 docs=c1_native_american_conflicts_3.pdf modes=on events=28 reason=manual_disconnect
1108328,c1_bee_reading_2.pdf,2026/05/21 10:55:21 π.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",2026-05-21T10:08:52->2026-05-21T10:10:47 docs=eye_tracking_validation_simple_2pages.pdf modes=on events=5 reason=translation_output_mode_changed; 2026-05-21T10:10:47->2026-05-21T10:10:51 docs=NO_TRANSLATION_EVENTS modes=on events=0 reason=document_changed; 2026-05-21T10:10:51->2026-05-21T10:14:48 docs=b2_electromagnetic_radiation_2.pdf modes=off events=7 reason=manual_disconnect
1108328,c2_noisy_humans_1.pdf,2026/05/25 10:13:56 π.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",Δεν βρέθηκε κοντινό session στο DB για την ίδια ημέρα.
1108328,c2_rosa_parks_2.pdf,2026/05/25 10:19:04 π.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",Δεν βρέθηκε κοντινό session στο DB για την ίδια ημέρα.
110833,b2_sticky_fingers_4.pdf,2026/05/26 9:12:53 π.μ. GMT+3,unmatched_unknown_or_test_id,,"Το ID δεν αντιστοιχεί με γνωστό DB user, ή είναι κενό/test typo.",Δεν βρέθηκε κοντινό session στο DB για την ίδια ημέρα.
1108382,c2_rosa_parks_2.pdf,2026/05/19 2:57:08 μ.μ. GMT+3,used_with_inferred_condition,off,"Ο user είχε 8 unique quiz PDFs και 4 popup-on / 3 popup-off DB-matched sessions. Για να συμπληρωθεί το αναμενόμενο 4-on/4-off, το missing PDF ταξινομήθηκε ως `off`.",2026-05-19T14:58:41->2026-05-19T14:58:48 docs=c2_noisy_humans_1.pdf modes=on events=1 reason=manual_disconnect; 2026-05-19T14:59:44->2026-05-19T15:05:59 docs=c2_noisy_humans_1.pdf modes=on events=103 reason=manual_disconnect
1108387,c2_noisy_humans_1.pdf,2026/05/26 9:42:55 π.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",Δεν βρέθηκε κοντινό session στο DB για την ίδια ημέρα.
1108387,c2_rosa_parks_2.pdf,2026/05/26 9:51:18 π.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",Δεν βρέθηκε κοντινό session στο DB για την ίδια ημέρα.
1112096,b2_sticky_fingers_4.pdf,2026/05/18 6:32:30 μ.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",2026-05-18T18:06:55->2026-05-18T18:10:52 docs=eye_tracking_validation_simple_2pages.pdf modes=on events=56 reason=document_changed; 2026-05-18T18:10:52->2026-05-18T18:19:08 docs=b2_animals_of_rainforests_1.pdf modes=on events=79 reason=manual_disconnect
1112096,c1_age_of_exploration_1.pdf,2026/05/19 2:09:11 μ.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",2026-05-19T13:43:47->2026-05-19T13:43:58 docs=NO_TRANSLATION_EVENTS modes=off events=2 reason=manual_disconnect; 2026-05-19T13:44:00->2026-05-19T13:44:08 docs=NO_TRANSLATION_EVENTS modes=on events=0 reason=document_changed; 2026-05-19T13:44:08->2026-05-19T13:45:45 docs=eye_tracking_validation_simple_2pages.pdf modes=off events=36 reason=translation_output_mode_changed
1112119c,c2_noisy_humans_1.pdf,2026/05/26 10:21:35 π.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",Δεν βρέθηκε κοντινό session στο DB για την ίδια ημέρα.
1112119c,c2_rosa_parks_2.pdf,2026/05/26 10:29:20 π.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",Δεν βρέθηκε κοντινό session στο DB για την ίδια ημέρα.
1112119c,c1_walt_disney_4.pdf,2026/05/27 10:43:02 π.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",2026-05-27T10:44:03->2026-05-27T10:49:15 docs=c1_bee_reading_2.pdf modes=on events=18 reason=manual_disconnect
